,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_16:20,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,1e-05,1,macro,[0.00187141 0.00203149 0.00233536 0.00263129 0.00376312],0.0023273855702094647,0.0642857142857143,0.0008673813838508434,0.0004379514963880289,0.05625,0.0013378270671676243
0,2022-07-11_16:20,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,1e-05,1,weighted,[0.00187141 0.00203149 0.00233536 0.00263129 0.00376312],0.0023273855702094647,0.0642857142857143,4.4074394380035856e-05,2.228109405535927e-05,0.0023273855702094647,0.0013378270671676243
0,2022-07-11_16:20,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,2e-05,1,macro,[0.00209419 0.00217659 0.00252219 0.00252165 0.00356506],0.0031031807602792862,0.054761904761904755,0.0016551977245618866,0.0008412397216951297,0.05111111111111111,0.000490896525185078
0,2022-07-11_16:21,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,2e-05,1,weighted,[0.00209419 0.00217659 0.00252219 0.00252165 0.00356506],0.0031031807602792862,0.054761904761904755,0.00010079144776024107,5.122898029303566e-05,0.0031031807602792862,0.000490896525185078
0,2022-07-11_16:21,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,3e-05,1,macro,[0.30842579 0.31529178 0.31801339 0.32726675 0.3285139 ],0.3312645461598138,0.03682578682578682,0.036190591904096556,0.06395101836811196,0.03437073437073437,-0.008810962369251111
0,2022-07-11_16:21,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': [], 'hf_own': []}",15000,0.8,0.2,"[1172, 586, 390, 293]",4,32,73,3,1,3e-05,1,weighted,[0.30842579 0.31529178 0.31801339 0.32726675 0.3285139 ],0.3312645461598138,0.03682578682578682,0.4822686191199087,0.8908753864314071,0.3312645461598138,-0.008810962369251111
