,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_19:47,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,1e-05,1,macro,[0.31014798 0.34357569 0.39539162 0.42319032 0.38694131],0.3537626066718386,0.05915663562722386,0.03374094425492873,0.05727379674908835,0.04871722934006671,0.00445087953181689
0,2022-07-11_19:47,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,1e-05,1,weighted,[0.31014798 0.34357569 0.39539162 0.42319032 0.38694131],0.3537626066718386,0.05915663562722386,0.5042377177975181,0.8996549554944554,0.3537626066718386,0.00445087953181689
0,2022-07-11_19:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,2e-05,1,macro,[0.54681061 0.68337596 0.77280795 0.82598231 0.82055853],0.8277734678044996,0.06241956241956242,0.05675531914893616,0.05906775907883082,0.054617117117117114,-0.012746725003785563
0,2022-07-11_19:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,2e-05,1,weighted,[0.54681061 0.68337596 0.77280795 0.82598231 0.82055853],0.8277734678044996,0.06241956241956242,0.8601799184589736,0.8952271073421558,0.8277734678044996,-0.012746725003785563
0,2022-07-11_19:50,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,3e-05,1,macro,[0.13872186 0.15098039 0.16079324 0.18182001 0.19654057],0.18851823118696664,0.09737334737334738,0.02137197612784951,0.05935695601226448,0.08520167895167895,-0.002317737190127512
0,2022-07-11_19:50,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",1000,0.8,0.2,"[3043, 1521, 1014, 760]",4,32,73,3,1,3e-05,1,weighted,[0.13872186 0.15098039 0.16079324 0.18182001 0.19654057],0.18851823118696664,0.09737334737334738,0.30810386590380756,0.8915544936071788,0.18851823118696662,-0.002317737190127512
