,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_15:30,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,1e-05,1,macro,[0.00025551 0.00040253 0.00040483 0.00053536 0.00673401],0.003878975950349108,0.049439775910364143,0.0077902194145075335,0.005773854050519165,0.049439775910364143,0.0003762510983577875
0,2022-07-11_15:30,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,1e-05,1,weighted,[0.00025551 0.00040253 0.00040483 0.00053536 0.00673401],0.003878975950349108,0.049439775910364143,0.0009776905849095336,0.0008228076055412301,0.003878975950349108,0.0003762510983577875
0,2022-07-11_15:37,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,2e-05,1,macro,[0.00038327 0.00051524 0.0006906  0.00073964 0.00752624],0.010861132660977503,0.0718965718965719,0.001939789791735785,0.05941706412294647,0.05920894156188274,-0.0033575766294764125
0,2022-07-11_15:37,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,2e-05,1,weighted,[0.00038327 0.00051524 0.0006906  0.00073964 0.00752624],0.010861132660977503,0.0718965718965719,0.012434775585972115,0.9472979962118829,0.010861132660977503,-0.0033575766294764125
0,2022-07-11_15:44,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,3e-05,1,macro,[0.74437015 0.82784105 0.86712495 0.8868496  0.84577804],0.8487199379363848,0.063999063999064,0.05750630782169891,0.059096802074330164,0.055999180999181,-0.015033649227234644
0,2022-07-11_15:44,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",15000,0.8,0.2,"[27232, 13616, 9077, 6808]",4,32,73,3,1,3e-05,1,weighted,[0.74437015 0.82784105 0.86712495 0.8868496  0.84577804],0.8487199379363848,0.063999063999064,0.87156185384384,0.8956672810893049,0.8487199379363848,-0.015033649227234644
