,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_18:37,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,1e-05,1,macro,[0.00357468 0.00426256 0.00460214 0.00551326 0.00330098],0.004654771140418929,0.018721395191983427,0.0022009887347668932,0.05982603567742887,0.015417619569868705,-0.0028204980963132576
0,2022-07-11_18:37,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,1e-05,1,weighted,[0.00357468 0.00426256 0.00460214 0.00551326 0.00330098],0.004654771140418929,0.018721395191983427,0.006458518109950747,0.9474006972434965,0.004654771140418929,-0.0028204980963132576
0,2022-07-11_18:40,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,2e-05,1,macro,[0.00049486 0.00071883 0.00083019 0.00090694 0.00514953],0.003878975950349108,0.04523809523809524,0.0017532681732120507,0.000896924426336191,0.042222222222222223,-0.0035732979004882474
0,2022-07-11_18:40,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,2e-05,1,weighted,[0.00049486 0.00071883 0.00083019 0.00090694 0.00514953],0.003878975950349108,0.04523809523809524,0.00017314913185177032,8.8701818268742e-05,0.003878975950349108,-0.0035732979004882474
0,2022-07-11_18:43,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,3e-05,1,macro,[0.00018883 0.00035311 0.00050533 0.00062054 0.00475342],0.0023273855702094647,0.028571428571428574,0.004903563255966002,0.0027100271002710027,0.02666666666666667,0.0023252126139866264
0,2022-07-11_18:44,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Books'], 'hf_own': []}",5000,0.8,0.2,"[10669, 5334, 3556, 2667]",4,32,73,3,1,3e-05,1,weighted,[0.00018883 0.00035311 0.00050533 0.00062054 0.00475342],0.0023273855702094647,0.028571428571428574,0.0004019729899511825,0.00022075472888165654,0.0023273855702094647,0.0023252126139866264
