,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_13:55,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,1e-05,1,macro,[0.04674835 0.05369536 0.06101225 0.07073922 0.06826434],0.05818463925523662,0.10835518482577307,0.012422190403180915,0.05895018063360441,0.08923368162122487,0.003565103545763322
0,2022-07-11_13:55,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,1e-05,1,weighted,[0.04674835 0.05369536 0.06101225 0.07073922 0.06826434],0.05818463925523662,0.10835518482577307,0.10452711541229072,0.8855446770298957,0.05818463925523662,0.003565103545763322
0,2022-07-11_14:07,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,2e-05,1,macro,[0.00020445 0.00025787 0.00027151 0.00154823 0.00198059],0.0,0.0,0.0,0.0,0.0,-0.0016613709159145264
0,2022-07-11_14:08,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,2e-05,1,weighted,[0.00020445 0.00025787 0.00027151 0.00154823 0.00198059],0.0,0.0,0.0,0.0,0.0,-0.0016613709159145264
0,2022-07-11_14:20,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,3e-05,1,macro,[0.00017238 0.00019836 0.00031282 0.00158229 0.00554565],0.0069821567106283944,0.06554621848739496,0.004135623512786142,0.0022993850544691633,0.0611764705882353,0.004447782125357007
0,2022-07-11_14:20,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",15000,0.8,0.2,"[48544, 24272, 16181, 12136]",4,32,73,3,1,3e-05,1,weighted,[0.00017238 0.00019836 0.00031282 0.00158229 0.00554565],0.0069821567106283944,0.06554621848739496,0.0006501114841315796,0.00036946337826246974,0.0069821567106283944,0.004447782125357007
