,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-17_14:55,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,macro,[0.01706595 0.01854714 0.01931994 0.02047913 0.02183153],0.02422723475355054,0.0016211985688729875,0.002971920475507276,0.056862745098039215,0.0015258339471745765,0.0005432228353291884
0,2022-07-17_14:55,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,weighted,[0.01706595 0.01854714 0.01931994 0.02047913 0.02183153],0.02422723475355054,0.0016211985688729875,0.04718823772555663,0.9028682818156503,0.02422723475355054,0.0005432228353291884
0,2022-07-17_14:56,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,macro,[0.11038125 0.13150438 0.16892066 0.2174137  0.26023957],0.2322472848788638,0.0778175313059034,0.024885822207501018,0.05933325566946256,0.0778175313059034,0.015454256417456
0,2022-07-17_14:56,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,weighted,[0.11038125 0.13150438 0.16892066 0.2174137  0.26023957],0.2322472848788638,0.0778175313059034,0.3635476660464859,0.882485596823165,0.2322472848788638,0.015454256417456
0,2022-07-17_14:56,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,macro,[0.07843895 0.29366306 0.54520866 0.67780783 0.73177486],0.7593984962406015,0.07159361955873583,0.05554580860447931,0.059069902162718846,0.07159361955873583,0.004222907714319028
0,2022-07-17_14:56,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,weighted,[0.07843895 0.29366306 0.54520866 0.67780783 0.73177486],0.7593984962406015,0.07159361955873583,0.8119907592982729,0.8734272430131285,0.7593984962406015,0.004222907714319028
