,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_12:54,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,1e-05,1,macro,[0.00030419 0.00033993 0.00041641 0.00058676 0.00594177],0.0069821567106283944,0.1285714285714286,0.0027570614861227066,0.0014029809197876424,0.1285714285714286,0.003536022812956729
0,2022-07-11_12:55,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,1e-05,1,weighted,[0.00030419 0.00033993 0.00041641 0.00058676 0.00594177],0.0069821567106283944,0.1285714285714286,0.00025483368567628527,0.00013000091150047798,0.0069821567106283944,0.003536022812956729
0,2022-07-11_13:00,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,2e-05,1,macro,[0.04428933 0.04547096 0.04650487 0.04740042 0.0724896 ],0.07059736229635376,0.026576576576576576,0.010707255200405885,0.0640126698341252,0.024804804804804802,-0.0005969791650220973
0,2022-07-11_13:00,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,2e-05,1,weighted,[0.04428933 0.04547096 0.04650487 0.04740042 0.0724896 ],0.07059736229635376,0.026576576576576576,0.12708304550977537,0.8964269771865,0.07059736229635376,-0.0005969791650220973
0,2022-07-11_13:05,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,3e-05,1,macro,[0.01171549 0.02359327 0.04320236 0.08046474 0.11144121],0.12800620636152055,0.057037557037557036,0.014305016195708583,0.058413829478675974,0.04697210579563521,0.02036988612466235
0,2022-07-11_13:05,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['News'], 'hf_own': []}",15000,0.8,0.2,"[18190, 9095, 6063, 4547]",4,32,73,3,1,3e-05,1,weighted,[0.01171549 0.02359327 0.04320236 0.08046474 0.11144121],0.12800620636152055,0.057037557037557036,0.22043424941048295,0.9356479714093887,0.12800620636152055,0.02036988612466235
