,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-11_18:53,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,1e-05,1,macro,[0.00015346 0.00021178 0.00031515 0.00040331 0.00277283],0.0023273855702094647,0.0642857142857143,0.0011265513853231366,0.0005705982503193733,0.060000000000000005,0.002097456843905185
0,2022-07-11_18:53,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,1e-05,1,weighted,[0.00015346 0.00021178 0.00031515 0.00040331 0.00277283],0.0023273855702094647,0.0642857142857143,5.549448457431952e-05,2.815149463387403e-05,0.0023273855702094647,0.002097456843905185
0,2022-07-11_18:57,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,2e-05,1,macro,[0.00105777 0.0010483  0.00138668 0.00118976 0.0043573 ],0.0031031807602792862,0.06190476190476191,0.00903441494591937,0.005976805896225719,0.05777777777777778,-0.0027646465917220394
0,2022-07-11_18:58,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,2e-05,1,weighted,[0.00105777 0.0010483  0.00138668 0.00118976 0.0043573 ],0.0031031807602792862,0.06190476190476191,0.0005755072991113827,0.0003888421703829959,0.0031031807602792862,-0.0027646465917220394
0,2022-07-11_19:02,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,3e-05,1,macro,[0.0003398  0.00052944 0.00061455 0.00104188 0.00396118],0.003878975950349108,0.07142857142857142,0.0005593466830741692,0.0002807726864330638,0.07142857142857142,-0.0001279688799654349
0,2022-07-11_19:02,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': ['Datenbanken', 'Maschine', 'Programmierung', 'Reise'], 'HF': ['Amazon'], 'hf_own': []}",5000,0.8,0.2,"[16996, 8498, 5665, 4249]",4,32,73,3,1,3e-05,1,weighted,[0.0003398  0.00052944 0.00061455 0.00104188 0.00396118],0.003878975950349108,0.07142857142857142,3.037569264173146e-05,1.5247546974642718e-05,0.003878975950349108,-0.0001279688799654349
