,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC
0,2022-07-16_23:47,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,macro,[0.0043573  0.0043573  0.00415924 0.00415924 0.00396118],0.0031031807602792862,0.01680672268907563,0.0014751982297621243,0.0007791195948578107,0.01384083044982699,-0.004952064708822361
0,2022-07-16_23:47,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,weighted,[0.0043573  0.0043573  0.00415924 0.00415924 0.00396118],0.0031031807602792862,0.01680672268907563,0.0003307465387131528,0.0001746823606779731,0.0031031807602792862,-0.004952064708822361
0,2022-07-16_23:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,macro,[0.00237671 0.00237671 0.00237671 0.00237671 0.00237671],0.0,0.0,0.0,0.0,0.0,-0.008160974026127312
0,2022-07-16_23:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,weighted,[0.00237671 0.00237671 0.00237671 0.00237671 0.00237671],0.0,0.0,0.0,0.0,0.0,-0.008160974026127312
0,2022-07-16_23:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,macro,[0.11969367 0.13111507 0.14148016 0.1533637  0.16663366],0.15593483320403415,0.02592722592722593,0.018447904570561384,0.05896805564570217,0.022686322686322688,-0.009512228327374474
0,2022-07-16_23:48,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,weighted,[0.11969367 0.13111507 0.14148016 0.1533637  0.16663366],0.15593483320403415,0.02592722592722593,0.2630403852924973,0.8850571332597805,0.15593483320403412,-0.009512228327374474
