,Prozess,bl1_0,Anordnung,bl1_1,Unternehmung,bl1_2,Gerät,bl1_3,Software,bl1_4,Tun,bl1_5,Schema,bl1_6,Daten,bl1_7,Komponentensprache,bl1_8,Material,bl1_9,Grundlage,bl1_10,Ereignis,bl1_11,Methode,bl1_12,Baustein,bl1_13,Mensch,bl1_14,Muster,bl1_15,Vorstellung,bl1_16,Maßeinheit,bl1_17,Bedeutung,bl1_18,Datei,bl1_19,Systeme,bl1_20,Systemen,bl1_21,Datenbanken,bl1_22,Dateien,bl1_23,Situation,bl1_24,Zeile,bl1_25
10,Systembeschreibung,,Mastertabelle,,Berechnung,,Data-Warehouse-System,,Dokumentenserver,,Aufwand,,ASCII-Code,,Änderungsprotokoll,,Publikation,,Description,,Statistik,,Tracing,,Verfahren,,Ende,,Entwickler,,Datenmodell,,Begriff,,Repositories,,,,,,,,,,,,,,,,,
11,Verwaltung,,Relationale-Datenbank-Muster,,Gruppe,,Anbieterserver,,Datenmanipulationssprache,,Programmieraufwand,,Code,,Metadaten,,Fehler,,Weblink,,Grundlage,,Beginning,,Primärschlüssel,,Datenmenge,,Network,,Verhaltensmuster,,Typbegriff,,,,,,,,,,,,,,,,,,,
12,Projektarchiv,,Tabellenform,,Stapelverarbeitung,,Netzwerkinformation,,Master-Server,,Objekt,,Klassenhierarchie,,Datenbanktabelle,,Sprache,,Blog-Eintrag,,Form,,Processing,,Technologie,,Grundlage,,Nutzer,,Netzwerkdatenbankmodell,,,,,,,,,,,,,,,,,,,,,
13,Geschichte,,Datenfeld,,Zuordnung,,Rechner,,Anwendungssoftware,,Regel,,Kundennummer,,Fremdschlüssel,,Gegenstand,,Education,,Variante,,Artikelname,,Initiative,,Quelle,,,,,,,,,,,,,,,,,,,,,,,,,
14,Abfrage,,Fremdschlüsselkaskade,,Datenprotokollierungs-Bibliothek,,Serverlog,,OPUS-Server,,Programmzustand,,Element,,Ereignisprotokoll,,Datentyp,,Artikelnummer,,Entwicklung,,Fetching,,Hilfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Problem,,Lastenverteilung,,Unterschied,,Versionsverwaltungssystem,,Publikationsserver,,Nutzerverhalten,,Datenbanksprache,,Adressdaten,,Downloads/Artikel,,Karteikarte,,Muster,,Warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ausfall,,Befehl,,Sammlung,,Paketverwaltung,,Grafiksoftware,,Sinn,,Klasse,,Transaktionsprotokoll,,Manipulationssprache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Zeit,,Modell,,Veröffentlichung,,Computersystem,,Programm,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gunter,,Quelltabelle,,Objektdatenbank,,Peer-to-Peer-Netzwerk,,Programmiersprache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Eintrag,,Definition,,Datenbank,,Daten,,Proxyserver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
