4,Arbeitszeit,,Reisender,,Abenteuer,,Wohnort,,Geld,,Verbrechen,,Milliarde,,Schild,,Außendienst,,Abi-Reise/Matura-Reise,,Österreich,,Schülerliste,,Erziehungsarbeit,,Wohnmobil,,Austauschreisen,,Schülerfahrt,,Motivation,
5,Mitte,,Beschäftigte,,Betrieb,,Betriebsstätte,,Aufwand,,Organisation,,Stelle,,Trivialschema,,Schulverein,,Klassenfahrt,,Asien,,Wandererlass,,Arbeitspflicht,,Auto,,Fahrt,,Frauenfahrt,,Gefährdungsbeurteilung,
6,Reiseverkehr,,Frau,,Mitnahme,,Bürger,,Nicht-Schengen-Staat,,Lernen,,Vielzahl,,Hochkulturschema,,Verbindung,,Schulreise,,Deutschland,,Schülersammelliste,,Leistung,,Schiff,,Reisen,,Mitfahrt,,Prestigemotivation,
7,Woche,,Dienstreisende,,Haustürgeschäft,,Arbeitsort,,Zeitaufwand,,Studie,,Ausgabe,,Polizei,,Wohlfahrtsverband,,Mitreise,,Schweiz,,Rechtsbegriff,,Pflicht,,Schulbus,,Tramper-Bewegung,,Schulfahrt,,Fahrtenprogramm,
8,Autor,,Weltreiseführer,,Arbeit,,Weltraum,,Taggeld,,Tipp,,Zahl,,Welt,,Caritasverband,,Studienreise,,Irland,,Bestimmung,,Dienstreise,,Autofahrer,,Hippie-Bewegung,,Schul-/Klassenfahrt,,Beurteilung,
9,Dienstreiseverkehr,,Gastschüler,,Medieninteresse,,Reiseziel,,Übernachtungskosten,,Beschreibung,,Gebiet,,Fahrtzweck,,Stadt,,Weltreise,,Europa,,Fahrtenerlass,,Dienst,,Fahrer,,Auslandreisen,,,,,
10,Regelarbeitszeit,,Anhalter,,Durchführung,,Arbeitsstätte,,Kilometergeld,,Thema,,Vorschuss,,Berg,,Familie,,Geschäftsreise,,Tschechien,,Erde,,Arbeitsleistung,,Kraftfahrzeug,,Reise,,,,,
11,Quelle,,Dienstreisender,,Schule,,Staat,,Kosten,,Transportmittel,,Million,,Wagenklasse,,Einrichtung,,Forschungsweltreise,,Kontinent,,Begriff,,Regelleistung,,Strecke,,,,,,,
12,Jahrhundert,,Mitarbeiter,,Interesse,,Übernachtung,,Transitstaat,,Treffen,,Klasse,,Soldat,,Wohnung,,Anreise,,,,,,,,,,,,,,,
13,Jahr,,Kind,,Unterhaltungsbetrieb,,Land,,Trennungsgeld,,Kennenlernen,,Hilfe,,Gastfamilie,,,,,,,,,,,,,,,,,,,
14,Zeit,,Eisenbahn,,Erholung,,Strandaufenthalt,,Nächtigungsgeld,,Verbreitung,,Gruppe,,Beförderungsklasse,,,,,,,,,,,,,,,,,,,
15,Tag,,Fahrgast,,Gesellschaft,,Ort,,Reisekosten,,Zweck,,Bezug,,Wohnung,,,,,,,,,,,,,,,,,,,
16,Linienverkehr,,Mensch,,Dienstgeschäft,,Dorf,,Personenverkehrsaufwand,,Trampertreffen,,Teil,,,,,,,,,,,,,,,,,,,,,
17,Austauschjahr,,Dienstgang,,Unternehmen,,EWR-Bürger,,Fahrtkosten,,Verein,,,,,,,,,,,,,,,,,,,,,,,
18,Landschulwoche,,Freizeitverkehr,,Auswärtstätigkeit,,Dienststätte,,Werbungskosten,,Regel,,,,,,,,,,,,,,,,,,,,,,,
19,Schüler,,Kraftfahrer,,Tätigkeit,,Aufenthalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,August,,Jugend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Wegzeit,,Radfernreisende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Monat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Unterrichtsgang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
